source,type,value,malware_family,country,tags,confidence,timestamp,pulse_name
threatfox,ip:port,38.47.122.34:8888,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),CobaltStrike,100,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,domain,saffronecho.top,js.smartapesg,Domain name that delivers a malware payload,SmartApeSG,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,url,https://saffronecho.top/redirect/middleware-validator.js,js.smartapesg,URL that delivers a malware payload,SmartApeSG,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,sha256_hash,2c4c16052c800b957945ac94afcab893e52924fc8e348154a106a3f8a31ed490,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,sha256_hash,e2e85ffb029036a3449da8f65275ccfb9e77832a6085c5c26d6726dfda47a048,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,sha256_hash,d5d0a96a77f93ba4dc8dc468efee0fcd99a065f665307ecc750ef36258680b39,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,sha256_hash,0f7448bc71f420f7b696550a46541b9b2c9fb3808fd6dfe9b18b456a9f0cfed4,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,ip:port,64.89.162.117:7443,unknown,ip:port combination that is used for botnet Command&control (C&C),"drb-ra,Mythic",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,46.246.82.4:8848,win.dcrat,ip:port combination that is used for botnet Command&control (C&C),"dcrat,drb-ra,RAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,45.81.17.44:6606,win.asyncrat,ip:port combination that is used for botnet Command&control (C&C),"asyncrat,drb-ra,RAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,45.147.28.58:42461,win.adaptix_c2,ip:port combination that is used for botnet Command&control (C&C),"AdaptixC2,drb-ra",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,31.76.87.188:4034,win.remcos,ip:port combination that is used for botnet Command&control (C&C),"drb-ra,RAT,RemcosRAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,23.95.220.192:43999,win.adaptix_c2,ip:port combination that is used for botnet Command&control (C&C),"AdaptixC2,drb-ra",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,207.180.250.181:1111,win.asyncrat,ip:port combination that is used for botnet Command&control (C&C),"asyncrat,drb-ra,RAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,207.180.250.181:6606,win.asyncrat,ip:port combination that is used for botnet Command&control (C&C),"asyncrat,drb-ra,RAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,2.27.5.120:6448,win.remcos,ip:port combination that is used for botnet Command&control (C&C),"drb-ra,RAT,RemcosRAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,2.27.5.236:1377,win.remcos,ip:port combination that is used for botnet Command&control (C&C),"drb-ra,RAT,RemcosRAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,2.26.75.249:7312,win.remcos,ip:port combination that is used for botnet Command&control (C&C),"drb-ra,RAT,RemcosRAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,198.23.177.222:14646,win.remcos,ip:port combination that is used for botnet Command&control (C&C),"drb-ra,RAT,RemcosRAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,198.23.185.231:20100,win.asyncrat,ip:port combination that is used for botnet Command&control (C&C),"asyncrat,drb-ra,RAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,192.3.96.82:45683,win.remcos,ip:port combination that is used for botnet Command&control (C&C),"drb-ra,RAT,RemcosRAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,192.208.12.91:3000,elf.evilginx,ip:port combination that is used for botnet Command&control (C&C),"drb-ra,EvilGinx,EvilGoPhish",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,182.23.2.163:12489,win.remcos,ip:port combination that is used for botnet Command&control (C&C),"drb-ra,RAT,RemcosRAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,178.236.46.43:7912,win.dcrat,ip:port combination that is used for botnet Command&control (C&C),"dcrat,drb-ra,RAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,163.245.217.48:3333,elf.evilginx,ip:port combination that is used for botnet Command&control (C&C),"drb-ra,EvilGinx,EvilGoPhish",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,158.94.210.30:8848,win.dcrat,ip:port combination that is used for botnet Command&control (C&C),"dcrat,drb-ra,RAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,158.94.208.192:1030,win.asyncrat,ip:port combination that is used for botnet Command&control (C&C),"asyncrat,drb-ra,RAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,154.83.186.106:30159,unknown,ip:port combination that is used for botnet Command&control (C&C),"drb-ra,Mythic",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,107.175.87.234:65321,win.adaptix_c2,ip:port combination that is used for botnet Command&control (C&C),"AdaptixC2,drb-ra",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,107.172.133.178:56003,win.asyncrat,ip:port combination that is used for botnet Command&control (C&C),"asyncrat,drb-ra,RAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,104.251.181.62:3421,win.remcos,ip:port combination that is used for botnet Command&control (C&C),"drb-ra,RAT,RemcosRAT",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,104.143.206.116:80,elf.mirai,ip:port combination that is used for botnet Command&control (C&C),"drb-ra,Mirai",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,domain,pfyfyt.bankefiile.com,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,domain,nljdiefg.jamjahani.football,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,domain,lq8j82kc.shirbetfarsi.com,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,domain,y5cngab5.shirbetfarsi.com,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
